Dimension,Entropy,Cinternal,Cexternal
58.0,0.9970387,0.45,0.05
53.0,0.99675494,0.45,0.01
37.0,0.99771756,0.3,0.1
23.0,0.9986904,0.3,0.05
21.0,0.9985611,0.3,0.01
51.0,0.997303,0.35,0.1
37.0,0.99790305,0.35,0.05
35.0,0.9981955,0.35,0.01
57.0,0.9978339,0.4,0.1
54.0,0.99689007,0.4,0.05
40.0,0.997772,0.4,0.01
35.0,0.9976014,0.45,0.1
60.0,0.9969148,0.45,0.05
49.0,0.99741465,0.45,0.01
39.0,0.9970878,0.3,0.1
27.0,0.99811053,0.3,0.05
32.0,0.9980373,0.3,0.01
49.0,0.9968963,0.35,0.1
41.0,0.99736583,0.35,0.05
31.0,0.99845153,0.35,0.01
61.0,0.997704,0.4,0.1
53.0,0.99739707,0.4,0.05
40.0,0.99716777,0.4,0.01
57.0,0.9979365,0.45,0.1
58.0,0.9974706,0.45,0.05
48.0,0.9968533,0.45,0.01
45.0,0.9962603,0.3,0.1
43.0,0.9978754,0.3,0.05
34.0,0.9983713,0.3,0.01
53.0,0.9974358,0.35,0.1
48.0,0.9978866,0.35,0.05
32.0,0.99816865,0.35,0.01
50.0,0.9975578,0.4,0.1
49.0,0.99804515,0.4,0.05
50.0,0.99620736,0.4,0.01
57.0,0.99653614,0.45,0.1
59.0,0.9962349,0.45,0.05
43.0,0.9975813,0.45,0.01
44.0,0.99774325,0.3,0.1
47.0,0.9973272,0.3,0.05
24.0,0.99873847,0.3,0.01
59.0,0.9968494,0.35,0.1
42.0,0.9973482,0.35,0.05
26.0,0.9975372,0.35,0.01
57.0,0.99699306,0.4,0.1
45.0,0.99641603,0.4,0.05
45.0,0.99682724,0.4,0.01
58.0,0.9978352,0.45,0.1
58.0,0.9968442,0.45,0.05
43.0,0.9969822,0.45,0.01
44.0,0.996977,0.3,0.1
36.0,0.9974689,0.3,0.05
27.0,0.998589,0.3,0.01
40.0,0.9979146,0.35,0.1
38.0,0.9975081,0.35,0.05
30.0,0.9988577,0.35,0.01
59.0,0.9976334,0.4,0.1
50.0,0.99620944,0.4,0.05
