Dimension,Entropy,Predominance,Cint
58.0,0.9968696,0.5,0.45
33.0,0.9978546,0.8,0.45
62.0,0.9962538,0.9,0.45
32.0,0.996443,0.99,0.45
34.0,0.9981836,0.5,0.3
34.0,0.99758226,0.8,0.3
49.0,0.99676365,0.9,0.3
11.0,0.99540776,0.99,0.3
36.0,0.9974426,0.5,0.35
51.0,0.9970852,0.8,0.35
57.0,0.99828315,0.9,0.35
21.0,0.99597496,0.99,0.35
49.0,0.9977251,0.5,0.4
55.0,0.9977825,0.8,0.4
47.0,0.9965163,0.9,0.4
11.0,0.9959548,0.99,0.4
56.0,0.9960095,0.5,0.45
55.0,0.9965238,0.8,0.45
33.0,0.99747366,0.9,0.45
30.0,0.99472725,0.99,0.45
50.0,0.998415,0.5,0.3
37.0,0.99706894,0.8,0.3
38.0,0.9970323,0.9,0.3
11.0,0.9968309,0.99,0.3
41.0,0.9969158,0.5,0.35
38.0,0.9977578,0.8,0.35
38.0,0.99752164,0.9,0.35
16.0,0.9941633,0.99,0.35
37.0,0.99644095,0.5,0.4
54.0,0.99626446,0.8,0.4
54.0,0.99744946,0.9,0.4
32.0,0.99582046,0.99,0.4
58.0,0.99663734,0.5,0.45
52.0,0.9962666,0.8,0.45
35.0,0.9978559,0.9,0.45
25.0,0.9959478,0.99,0.45
39.0,0.997849,0.5,0.3
40.0,0.9974069,0.8,0.3
40.0,0.9967262,0.9,0.3
9.0,0.99496454,0.99,0.3
39.0,0.99800813,0.5,0.35
50.0,0.9963707,0.8,0.35
58.0,0.9968557,0.9,0.35
12.0,0.99519265,0.99,0.35
57.0,0.99694395,0.5,0.4
52.0,0.9960986,0.8,0.4
58.0,0.99813014,0.9,0.4
33.0,0.9939601,0.99,0.4
51.0,0.9971089,0.5,0.45
69.0,0.99813235,0.8,0.45
60.0,0.99606633,0.9,0.45
31.0,0.9944402,0.99,0.45
38.0,0.99737644,0.5,0.3
44.0,0.9979814,0.8,0.3
45.0,0.9964977,0.9,0.3
8.0,0.9953622,0.99,0.3
43.0,0.99692804,0.5,0.35
35.0,0.9975804,0.8,0.35
37.0,0.9980175,0.9,0.35
21.0,0.99447,0.99,0.35
44.0,0.99611545,0.5,0.4
49.0,0.9981172,0.8,0.4
47.0,0.99779934,0.9,0.4
22.0,0.99589366,0.99,0.4
57.0,0.9968747,0.5,0.45
56.0,0.99737996,0.8,0.45
52.0,0.99742925,0.9,0.45
33.0,0.99608696,0.99,0.45
37.0,0.9983944,0.5,0.3
44.0,0.99677664,0.8,0.3
34.0,0.99745,0.9,0.3
10.0,0.99469143,0.99,0.3
42.0,0.99786973,0.5,0.35
39.0,0.99756795,0.8,0.35
50.0,0.9972404,0.9,0.35
40.0,0.9964372,0.99,0.35
48.0,0.9975552,0.5,0.4
41.0,0.9972009,0.8,0.4
54.0,0.99629915,0.9,0.4
27.0,0.99510896,0.99,0.4
61.0,0.9979256,0.5,0.45
62.0,0.9976587,0.8,0.45
57.0,0.9962456,0.9,0.45
26.0,0.99649674,0.99,0.45
34.0,0.99856174,0.5,0.3
33.0,0.9975429,0.8,0.3
45.0,0.9976025,0.9,0.3
8.0,0.9953941,0.99,0.3
39.0,0.99756765,0.5,0.35
49.0,0.9974689,0.8,0.35
47.0,0.9976531,0.9,0.35
44.0,0.99508655,0.99,0.35
42.0,0.9978999,0.5,0.4
59.0,0.9961465,0.8,0.4
42.0,0.9971747,0.9,0.4
57.0,0.99528825,0.99,0.4
55.0,0.9974368,0.5,0.45
32.0,0.99820584,0.8,0.45
65.0,0.99796855,0.9,0.45
9.0,0.99622744,0.99,0.45
36.0,0.9979835,0.5,0.3
34.0,0.99737895,0.8,0.3
43.0,0.9967529,0.9,0.3
10.0,0.99534976,0.99,0.3
42.0,0.99731207,0.5,0.35
49.0,0.99688405,0.8,0.35
54.0,0.9962857,0.9,0.35
14.0,0.9955332,0.99,0.35
