Dimension,Entropy,Predominance,Cint
42.0,0.99627656,0.9,0.3
11.0,0.9954974,0.99,0.3
42.0,0.9977992,0.5,0.35
38.0,0.99730325,0.8,0.35
51.0,0.9971636,0.9,0.35
21.0,0.99550277,0.99,0.35
43.0,0.9966426,0.5,0.4
67.0,0.9979231,0.8,0.4
51.0,0.99793655,0.9,0.4
26.0,0.99568945,0.99,0.4
59.0,0.99744254,0.5,0.45
58.0,0.99609214,0.8,0.45
59.0,0.9963001,0.9,0.45
18.0,0.99479884,0.99,0.45
30.0,0.9980333,0.5,0.3
40.0,0.99789774,0.8,0.3
47.0,0.997806,0.9,0.3
15.0,0.99653906,0.99,0.3
36.0,0.99722093,0.5,0.35
42.0,0.99736625,0.8,0.35
43.0,0.9978766,0.9,0.35
23.0,0.99476403,0.99,0.35
50.0,0.9971497,0.5,0.4
63.0,0.99779874,0.8,0.4
48.0,0.9971552,0.9,0.4
7.0,0.9964934,0.99,0.4
53.0,0.9974366,0.5,0.45
62.0,0.997696,0.8,0.45
65.0,0.9978084,0.9,0.45
33.0,0.9968205,0.99,0.45
32.0,0.99821275,0.5,0.3
41.0,0.9974457,0.8,0.3
37.0,0.99732196,0.9,0.3
9.0,0.99577487,0.99,0.3
38.0,0.9974408,0.5,0.35
44.0,0.99734753,0.8,0.35
45.0,0.99714434,0.9,0.35
12.0,0.99468905,0.99,0.35
46.0,0.9975755,0.5,0.4
59.0,0.99791634,0.8,0.4
51.0,0.9970572,0.9,0.4
18.0,0.99563664,0.99,0.4
56.0,0.99714935,0.5,0.45
54.0,0.9971668,0.8,0.45
60.0,0.9978461,0.9,0.45
57.0,0.9957702,0.99,0.45
