dim_old,dim_new,entropy_old,entropy_new
19,16,0.9828620297508791,0.9763315147646561
22,13,0.98265121625479,0.9766981463191652
28,16,0.9826573968674486,0.9767252855879873
24,14,0.9821719829274458,0.9764779305378651
26,19,0.9825335478044906,0.976723757163003
24,19,0.9828847377014204,0.9764659831970092
23,17,0.9828748525261772,0.9763626123645099
26,15,0.9820804523780278,0.9765283066899824
23,23,0.9822502572287051,0.9769810852103881
27,19,0.98242737202211,0.9770583891458432
15,18,0.9825537707430467,0.9756343008682531
18,18,0.9827646377787197,0.9765142393433656
19,21,0.9826815631955791,0.9766094059719028
23,17,0.9826842309037449,0.9766233916399548
24,17,0.9826274356111306,0.9770314322778646
23,17,0.982619556119827,0.9765555309526732
29,17,0.9826583354490527,0.9760723441981978
25,18,0.9828462636319202,0.976351153186613
25,18,0.9825034898738688,0.976740526665173
24,17,0.9831673917436758,0.9766882243408116
23,22,0.9824122972792207,0.9765060544013977
24,18,0.9827610951471593,0.9767532231895056
26,18,0.9827551282696004,0.9762878634988712
25,18,0.982775059148161,0.9763999227173549
22,20,0.9825079825742079,0.9767207059133727
25,17,0.9825741144974732,0.9762973773272298
25,16,0.9825086148399482,0.9761838316917419
32,18,0.9828068393721372,0.9762776495223169
33,17,0.9829246727623866,0.9761141905976346
28,19,0.9824157281627465,0.9764746065411478
19,22,0.9823760737172186,0.9763325305474087
23,17,0.9823047424179628,0.9755160968725662
20,19,0.9824881116875612,0.9765423140859941
23,16,0.9819296890410896,0.9765559676541401
18,18,0.9824546986993012,0.9766799995438018
16,19,0.9826566532740622,0.9771051122456446
19,19,0.9824358696418387,0.9763282537460327
28,18,0.9826712784304682,0.9762973238051927
20,20,0.983080679322189,0.9767985874782555
25,17,0.9825720657542522,0.9764775584971329
21,18,0.9821594932993569,0.9761732549661208
19,16,0.9824627991642315,0.9768873300617527
29,17,0.9832280489407648,0.9766117371736843
23,21,0.9826708162985719,0.9764722172452686
15,18,0.982335383916845,0.9766080200879776
26,18,0.9820147272923542,0.9758690181501882
20,16,0.982853303082942,0.976306827935533
30,17,0.9832513877451134,0.9759927134390647
19,17,0.9822857440468504,0.976470104678958
20,13,0.9826471851959855,0.9760287095655629
23,17,0.9829307275515321,0.9763653614044061
25,20,0.9825393170850697,0.9756907362412791
30,17,0.9823006163799886,0.9762527320993192
23,14,0.9827225660207982,0.976657605730091
23,18,0.9826613090641876,0.9758866639510442
25,19,0.983157362841066,0.9760598998698983
25,19,0.9821686744689941,0.9755658173179489
26,17,0.982386550716792,0.9766960612452139
26,19,0.9822931375655474,0.9761497478336645
24,19,0.9826083253079032,0.9765555861475183
28,18,0.9827609007867963,0.9766940266304225
20,19,0.9827833121230765,0.9764700540125834
23,19,0.9822416586615413,0.9756078101278443
20,17,0.9819317555647278,0.9764830005111617
26,20,0.9826195087299109,0.976767927415654
21,17,0.9823551575803843,0.9768639253869289
20,18,0.9824424553307258,0.9764960518288636
18,17,0.9833501721473091,0.9757809209199811
21,16,0.982366321777518,0.975992832987874
21,18,0.9827101414910632,0.9766655939122796
23,18,0.9827441217737433,0.9765372582654828
29,18,0.9826694891119148,0.9759891381688295
18,15,0.9829187053201872,0.976126162730978
22,15,0.9827968042564924,0.9771659425118511
19,18,0.9827413905459218,0.9755426943156384
19,13,0.9827240729321391,0.9770499934933224
24,18,0.9829285045161521,0.9763690174558486
28,17,0.982548617250716,0.9761313706089824
26,20,0.9825497529453535,0.9768179588697483
21,18,0.9824015983570974,0.9765514727680018
25,19,0.9819498796925188,0.9762846577933801
20,17,0.9828122842928901,0.9768412166623057
23,22,0.9827766456062336,0.975791955488213
25,19,0.9825836720157074,0.9771306660194086
26,18,0.9826658226618701,0.9762850102778335
22,18,0.9830189880498895,0.975391732211028
24,17,0.9825162614063019,0.9763439263546567
24,20,0.9828540599043714,0.9764702511578631
20,20,0.983194274477663,0.9760806244228644
23,16,0.9825801897956851,0.9771926781157034
22,17,0.9825566852384526,0.9765189550451611
27,19,0.9825013472865783,0.9771329342040626
22,18,0.9822434920634966,0.9764823327857537
